date,budget,title,awards,ratio,best
2018,3.5,Call Me by Your Name,4,0.9,
2018,4.5,Get Out,4,1.1,
2018,5,Lady Bird,10,0.5,
2018,12,"Three Billboards Outside Ebbing, Missouri",7,1.7,
2018,19.5,The Shape of Water,13,1.5,
2018,30,Darkest Hour,6,5.0,
2018,35,Phantom Thread,6,5.8,
2018,50,The Post,2,25.0,
2018,100,Dunkirk,8,12.5,
2017,1.5,Moonlight,6,0.3,TRUE
2017,8.5,Manchester by the Sea,6,1.4,
2017,12,Lion,6,2.0,
2017,23,Hell or High Water,4,5.8,
2017,24,Fences,4,6.0,
2017,25,Hidden Figures,3,8.3,
2017,30,La La Land,14,2.1,
2017,40,Hacksaw Ridge,6,6.7,
2017,47,Arrival,8,5.9,
2016,11,Brooklyn,3,3.7,
2016,13,Room,4,3.3,
2016,20,Spotlight,6,3.3,TRUE
2016,28,The Big Short,5,5.6,
2016,40,Bridge of Spies,6,6.7,
2016,108,The Martian,7,15.4,
2016,135,The Revenant,5,27.0,
2016,150,Mad Max: Fury Road,10,15.0,
2015,3,Whiplash,5,0.6,
2015,4,Boyhood,6,0.7,
2015,14,Imitation Game,8,1.8,
2015,15,The Theory of Everything,5,3.0,
2015,18,Birdman,9,2.0,TRUE
2015,20,Selma,2,10.0,
2015,30,Grand Budapest Hotel,9,3.3,
2015,59,American Sniper,6,9.8,
2014,5,Dallas Buyers Club,6,0.8,
2014,12,Nebraska,6,2.0,
2014,12,Philomena,4,3.0,
2014,20,12 Years a Slave,9,2.2,TRUE
2014,23,Her,5,4.6,
2014,40,American Hustle,12,3.3,
2014,55,Captain Phillips,6,9.2,
2014,100,Gravity,12,8.3,
2014,100,The Wolf of Wall Street,5,20.0,
2013,1.5,Beasts of the Southern Wild,4,0.4,
2013,9,Amour,5,1.8,
2013,21,Silver Linings Playbook,8,2.6,
2013,40,Zero Dark Thirty,5,8.0,
2013,45,Argo,8,5.6,TRUE
2013,61,Les Misérables,8,7.6,
2013,65,Lincoln,12,5.4,
2013,100,Django Unchained,5,20.0,
2013,120,Life of Pi,11,10.9,
2012,15,The Artist,10,1.5,TRUE
2012,17,Midnight in Paris,4,4.3,
2012,20,The Descendants,5,4.0,
2012,25,The Help,4,6.3,
2012,32,The Tree of Life,3,10.7,
2012,40,Extremely Loud & Incredibly Close,2,20.0,
2012,50,Moneyball,6,8.3,
2012,66,War Horse,6,11.0,
2012,160,Hugo,11,14.5,
2011,2,Winter's Bone,4,0.5,
2011,4,The Kids Are All Right,4,1.0,
2011,13,Black Swan,5,2.6,
2011,15,The King's Speech,12,1.3,TRUE
2011,18,127 Hours,6,3.0,
2011,25,The Fighter,7,3.6,
2011,38,True Grit,10,3.8,
2011,40,The Social Network,8,5.0,
2011,160,Inception,8,20.0,
2011,200,Toy Story 3,5,40.0,
2010,7,A Serious Man,2,3.5,
2010,8,An Education,3,2.7,
2010,10,Precious,6,1.7,
2010,15,The Hurt Locker,9,1.7,TRUE
2010,25,Up in the Air,6,4.2,
2010,29,The Blind Side,2,14.5,
2010,30,District 9,4,7.5,
2010,75,Inglourious Basterds,8,9.4,
2010,175,Up,5,35.0,
2010,237,Avatar,9,26.3,
2009,15,Slumdog Millionaire,10,1.5,TRUE
2009,20,Milk,8,2.5,
2009,32,The Reader,5,6.4,
2009,35,Frost/Nixon,5,7.0,
2009,150,The Curious Case of Benjamin Button,13,11.5,
2008,8,Juno,4,2.0,
2008,25,No Country for Old Men,8,3.1,TRUE
2008,25,There Will Be Blood,8,3.1,
2008,25,Michael Clayton,7,3.6,
2008,30,Atonement,7,4.3,
2007,8,Little Miss Sunshine,4,2.0,
2007,15,The Queen,6,2.5,
2007,19,Letters from Iwo Jima,4,4.8,
2007,25,Babel,7,3.6,
2007,90,The Departed,5,18.0,TRUE
2006,7,Crash,6,1.2,TRUE
2006,7,"Good Night, and Good Luck",6,1.2,
2006,7,Capote,5,1.4,
2006,14,Brokeback Mountain,8,1.8,
2006,70,Munich,5,14.0,
2005,12,Sideways,5,2.4,
2005,25,Finding Neverland,7,3.6,
2005,30,Million Dollar Baby,7,4.3,TRUE
2005,40,Ray,6,6.7,
2005,110,The Aviator,11,10.0,